8.12014008;	2.62745094
8.12014008;	2.50980401
8.12014008;	2.68627453
8.12014008;	2.96078420
8.13205051;	3.13725495
8.13205051;	3.37254906
8.13205051;	2.80392146
8.13205051;	2.39215684
8.14440441;	2.09803915
8.14440441;	3.01960778
8.14440441;	2.84313726
8.14440441;	3.03921580
8.15258026;	3.11764717
8.15258026;	2.78431368
8.15258026;	2.11764717
8.16468811;	2.52941179
8.16468811;	3.01960778
8.16468811;	3.13725495
8.16468811;	3.41176462
8.17718029;	3.03921580
8.17718029;	2.60784316
8.17718029;	2.50980401
8.17718029;	2.74509811
8.19063187;	3.11764717
8.19063187;	3.39215684
8.19063187;	3.45098042
8.19063187;	2.82352948
8.19810295;	2.31372547
8.19810295;	1.98039210
8.19810295;	2.50980401
8.20969486;	2.58823538
8.20969486;	2.72549009
8.20969486;	2.88235283
8.20969486;	2.49019599
8.22244930;	2.03921580
8.22244930;	2.31372547
8.22244930;	2.58823538
8.22244930;	2.76470590
8.23440170;	3.05882359
8.23440170;	2.15686274
8.23440170;	1.70588231
8.23440170;	1.33333337
8.24265957;	1.88235295
8.24265957;	1.96078432
8.24265957;	2.07843137
8.25492287;	2.25490189
8.25492287;	1.90196073
8.25492287;	1.80392158
8.25492287;	1.64705884
8.26743984;	2.49019599
8.26743984;	2.76470590
8.26743984;	3.13725495
8.26743984;	2.98039222
8.27563190;	2.58823538
8.27563190;	2.41176462
8.28771496;	2.84313726
8.28771496;	2.92156863
8.28771496;	3.56862736
8.28771496;	2.35294127
8.29986382;	2.09803915
8.29986382;	2.01960778
8.29986382;	2.09803915
8.29986382;	2.07843137
8.31214428;	2.27450991
8.31214428;	2.11764717
8.31214428;	1.49019611
8.31214428;	1.25490201
8.32029533;	0.88235295
8.32029533;	1.68627453
8.33276272;	2.58823538
8.33276272;	2.45098042
8.33276272;	2.31372547
8.33276272;	2.09803915
8.34546089;	2.60784316
8.34546089;	3.23529410
8.34546089;	3.50980401
8.34546089;	3.82352948
8.35747814;	3.03921580
8.35747814;	2.80392146
8.35747814;	2.35294127
8.35747814;	2.54901958
8.36815262;	2.84313726
8.36815262;	2.86274505
8.37775326;	2.49019599
8.37775326;	1.92156863
8.37775326;	1.76470590
8.37775326;	2.74509811
8.39005756;	2.60784316
8.39005756;	2.58823538
8.39005756;	2.54901958
8.39005756;	2.23529410
